Point,Corner,mul_cap,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg2,nf_Mn_drive_values,nf_Mn_tail1_values,nf_Mn_tail2_values,nf_Mp_stg2_values,Pass/Fail,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Region_Drive_1,Region_Drive_2,Region_Mn_tail1,Region_Mn_tail2,Region_Mp_stg1_1,Region_Mp_stg1_2,Region_Mp_stg2,Region_Mp_Rz,Region_Mn2,Region_Mp3,Region_Mp4,Region_Mn_ibias,Slew Rate Value
6.831e3,nom,8,37,26,180,100,37,26,180,100,near,4.087e-9,6.71e-9,36.93e-6,81.18,713.4e6,12.96e6,720.8e6,3.001e-3,45.28,2,2,2,2,2,2,2,1,1,2,2,2,498e6
6.832e3,nom,8,37,26,180,200,37,26,180,200,pass,4.148e-9,6.484e-9,32.14e-6,75.09,555.3e6,10.24e6,562.2e6,3.002e-3,47.31,2,2,2,2,2,2,2,1,2,2,2,2,495.4e6
6.833e3,nom,8,37,26,180,300,37,26,180,300,pass,4.204e-9,6.373e-9,29.32e-6,70.26,460e6,8.946e6,465.4e6,3.002e-3,47.99,2,2,2,2,2,2,2,1,2,2,2,2,460.5e6
6.834e3,nom,8,37,26,180,400,37,26,180,400,pass,4.25e-9,6.306e-9,27.36e-6,68.9,421.6e6,7.939e6,425.8e6,3.003e-3,48.32,2,2,2,2,2,2,2,1,2,2,2,2,419.6e6
6.835e3,nom,8,37,26,180,500,37,26,180,500,pass,4.293e-9,6.256e-9,25.71e-6,66.97,381.2e6,7.302e6,384e6,3.003e-3,48.5,2,2,2,2,2,2,2,1,2,2,2,2,388.6e6
6.836e3,nom,8,37,26,180,600,37,26,180,600,pass,4.325e-9,6.226e-9,24.58e-6,66.51,354.1e6,6.705e6,358.6e6,3.003e-3,48.62,2,2,2,2,2,2,2,1,2,2,2,2,364.6e6
6.837e3,nom,8,37,26,180,700,37,26,180,700,pass,4.353e-9,6.204e-9,23.66e-6,65.64,327.8e6,6.22e6,330.1e6,3.003e-3,48.71,2,2,2,2,2,2,2,1,2,2,2,2,346.7e6
6.838e3,nom,8,37,26,180,800,37,26,180,800,pass,4.378e-9,6.187e-9,22.88e-6,65.47,307.5e6,5.83e6,309.1e6,3.003e-3,48.76,2,2,2,2,2,2,2,1,2,2,2,2,324.4e6
6.839e3,nom,8,37,26,180,900,37,26,180,900,pass,4.403e-9,6.172e-9,22.12e-6,65.27,289.7e6,5.48e6,293e6,3.003e-3,48.79,2,2,2,2,2,2,2,1,2,2,2,2,292.4e6
6.84e3,nom,8,37,26,180,1e3,37,26,180,1e3,pass,4.423e-9,6.162e-9,21.55e-6,64.89,272.8e6,5.165e6,276.1e6,3.003e-3,48.82,2,2,2,2,2,2,2,1,2,2,2,2,280.8e6
6.841e3,nom,8,37,26,220,100,37,26,220,100,near,4.116e-9,6.903e-9,39.36e-6,81.33,775.4e6,13.31e6,777.5e6,3.591e-3,44.16,2,2,2,2,2,2,2,1,1,2,2,2,446.6e6
6.842e3,nom,8,37,26,220,200,37,26,220,200,near,4.121e-9,6.558e-9,33.79e-6,75.67,502.8e6,10.44e6,503.2e6,3.59e-3,46.86,2,2,2,2,2,2,2,1,1,2,2,2,481.5e6
6.843e3,nom,8,37,26,220,300,37,26,220,300,pass,4.176e-9,6.429e-9,30.78e-6,73.64,462.7e6,8.978e6,468e6,3.592e-3,47.69,2,2,2,2,2,2,2,1,2,2,2,2,448.8e6
6.844e3,nom,8,37,26,220,400,37,26,220,400,pass,4.221e-9,6.351e-9,28.7e-6,70.83,412.9e6,7.981e6,416e6,3.592e-3,48.1,2,2,2,2,2,2,2,1,2,2,2,2,408.9e6
6.845e3,nom,8,37,26,220,500,37,26,220,500,pass,4.26e-9,6.298e-9,27.13e-6,70.37,383e6,7.264e6,385.5e6,3.592e-3,48.34,2,2,2,2,2,2,2,1,2,2,2,2,380.2e6
6.846e3,nom,8,37,26,220,600,37,26,220,600,pass,4.292e-9,6.261e-9,25.89e-6,69.14,351.9e6,6.687e6,356.5e6,3.592e-3,48.49,2,2,2,2,2,2,2,1,2,2,2,2,357.5e6
6.847e3,nom,8,37,26,220,700,37,26,220,700,pass,4.321e-9,6.234e-9,24.88e-6,68.99,329.3e6,6.172e6,332e6,3.592e-3,48.6,2,2,2,2,2,2,2,1,2,2,2,2,336.8e6
6.848e3,nom,8,37,26,220,800,37,26,220,800,pass,4.346e-9,6.213e-9,24.04e-6,68.33,307.3e6,5.797e6,308.9e6,3.592e-3,48.67,2,2,2,2,2,2,2,1,2,2,2,2,316.9e6
6.849e3,nom,8,37,26,220,900,37,26,220,900,pass,4.369e-9,6.196e-9,23.31e-6,68.3,289.8e6,5.433e6,293.2e6,3.592e-3,48.72,2,2,2,2,2,2,2,1,2,2,2,2,296.3e6
6.85e3,nom,8,37,26,220,1e3,37,26,220,1e3,pass,4.39e-9,6.183e-9,22.68e-6,67.91,273.2e6,5.115e6,276.5e6,3.592e-3,48.76,2,2,2,2,2,2,2,1,2,2,2,2,274.5e6
6.851e3,nom,8,37,26,260,100,37,26,260,100,near,4.105e-9,6.882e-9,39.51e-6,73.3,919.3e6,13.99e6,922.1e6,4.18e-3,43.34,2,2,2,2,2,2,2,1,1,2,2,2,378.4e6
6.852e3,nom,8,37,26,260,200,37,26,260,200,near,4.111e-9,6.588e-9,34.5e-6,78.05,503.6e6,10.63e6,504.2e6,4.179e-3,46.41,2,2,2,2,2,2,2,1,1,2,2,2,467.3e6
6.853e3,nom,8,37,26,260,300,37,26,260,300,pass,4.16e-9,6.464e-9,31.68e-6,76.22,465.8e6,9.042e6,470.9e6,4.181e-3,47.38,2,2,2,2,2,2,2,1,2,2,2,2,436.5e6
6.854e3,nom,8,37,26,260,400,37,26,260,400,pass,4.202e-9,6.386e-9,29.67e-6,73.28,412.7e6,7.996e6,415.7e6,4.181e-3,47.87,2,2,2,2,2,2,2,1,2,2,2,2,394.9e6
6.855e3,nom,8,37,26,260,500,37,26,260,500,pass,4.237e-9,6.331e-9,28.13e-6,71.66,377e6,7.296e6,380.3e6,4.181e-3,48.16,2,2,2,2,2,2,2,1,2,2,2,2,375.9e6
6.856e3,nom,8,37,26,260,600,37,26,260,600,pass,4.268e-9,6.292e-9,26.91e-6,71.67,351.9e6,6.657e6,356.5e6,4.181e-3,48.34,2,2,2,2,2,2,2,1,2,2,2,2,350.7e6
6.857e3,nom,8,37,26,260,700,37,26,260,700,pass,4.296e-9,6.261e-9,25.9e-6,70.83,326.7e6,6.165e6,329e6,4.181e-3,48.48,2,2,2,2,2,2,2,1,2,2,2,2,329.8e6
6.858e3,nom,8,37,26,260,800,37,26,260,800,pass,4.32e-9,6.238e-9,25.04e-6,70.9,307.3e6,5.754e6,308.9e6,4.181e-3,48.57,2,2,2,2,2,2,2,1,2,2,2,2,308.8e6
6.859e3,nom,8,37,26,260,900,37,26,260,900,pass,4.342e-9,6.219e-9,24.3e-6,70.41,288.6e6,5.405e6,292.1e6,4.181e-3,48.64,2,2,2,2,2,2,2,1,2,2,2,2,289.4e6
6.86e3,nom,8,37,26,260,1e3,37,26,260,1e3,pass,4.362e-9,6.204e-9,23.66e-6,70.07,272.5e6,5.084e6,275.8e6,4.181e-3,48.69,2,2,2,2,2,2,2,1,2,2,2,2,269.4e6
6.861e3,nom,8,37,20,20,100,37,20,20,100,near,4.871e-9,6.541e-9,23.28e-6,42.62,475e6,8.67e6,478.3e6,567.6e-6,49.22,2,2,2,2,2,2,2,1,2,2,2,2,477.8e6
6.862e3,nom,8,37,20,20,200,37,20,20,200,fail,5.018e-9,6.508e-9,19.39e-6,36.22,362.5e6,7.752e6,366.7e6,567.8e-6,49.29,2,2,2,2,2,2,2,1,2,2,2,2,462.3e6
6.863e3,nom,8,37,20,20,300,37,20,20,300,fail,5.101e-9,6.509e-9,17.43e-6,32.68,305.7e6,7.109e6,307.5e6,567.9e-6,49.22,2,2,2,2,2,2,2,1,2,2,2,2,422.4e6
6.864e3,nom,8,37,20,20,400,37,20,20,400,fail,5.157e-9,6.514e-9,16.17e-6,30.55,267.5e6,6.537e6,270.6e6,568e-6,49.13,2,2,2,2,2,2,2,1,2,2,2,2,384.3e6
6.865e3,nom,8,37,20,20,500,37,20,20,500,fail,5.199e-9,6.521e-9,15.27e-6,29.17,239.4e6,6.075e6,241.4e6,568.1e-6,49.05,2,2,2,2,2,2,2,1,2,2,2,2,364.5e6
6.866e3,nom,8,37,20,20,600,37,20,20,600,fail,5.232e-9,6.527e-9,14.59e-6,28.22,217.5e6,5.692e6,220.5e6,568.1e-6,48.97,2,2,2,2,2,2,2,1,2,2,2,2,329.9e6
6.867e3,nom,8,37,20,20,700,37,20,20,700,fail,5.259e-9,6.532e-9,14.04e-6,27.54,199.7e6,5.338e6,199.8e6,568.1e-6,48.89,2,2,2,2,2,2,2,1,2,2,2,2,310.3e6
6.868e3,nom,8,37,20,20,800,37,20,20,800,fail,5.283e-9,6.537e-9,13.59e-6,27.03,185e6,5.01e6,187.2e6,568.2e-6,48.83,2,2,2,2,2,2,2,1,2,2,2,2,293e6
6.869e3,nom,8,37,20,20,900,37,20,20,900,fail,5.303e-9,6.542e-9,13.22e-6,26.65,172.4e6,4.761e6,174.8e6,568.2e-6,48.76,2,2,2,2,2,2,2,1,2,2,2,2,274.6e6
6.87e3,nom,8,37,20,20,1e3,37,20,20,1e3,fail,5.321e-9,6.546e-9,12.9e-6,26.37,161.7e6,4.528e6,162.5e6,568.2e-6,48.71,2,2,2,2,2,2,2,1,2,2,2,2,255e6
6.871e3,nom,8,37,20,60,100,37,20,60,100,pass,4.652e-9,6.736e-9,31.07e-6,68.4,520.6e6,9.224e6,524.2e6,1.155e-3,48.38,2,2,2,2,2,2,2,1,2,2,2,2,465.6e6
6.872e3,nom,8,37,20,60,200,37,20,60,200,pass,4.789e-9,6.588e-9,25.94e-6,60.29,435.5e6,7.879e6,440.6e6,1.156e-3,49.04,2,2,2,2,2,2,2,1,2,2,2,2,427.8e6
6.873e3,nom,8,37,20,60,300,37,20,60,300,pass,4.877e-9,6.54e-9,23.28e-6,56.33,380.4e6,7.093e6,383.1e6,1.156e-3,49.21,2,2,2,2,2,2,2,1,2,2,2,2,392.1e6
6.874e3,nom,8,37,20,60,400,37,20,60,400,pass,4.939e-9,6.521e-9,21.64e-6,53.9,334.6e6,6.44e6,337.9e6,1.156e-3,49.28,2,2,2,2,2,2,2,1,2,2,2,2,357.2e6
6.875e3,nom,8,37,20,60,500,37,20,60,500,pass,4.99e-9,6.511e-9,20.37e-6,52.43,304.6e6,5.951e6,306.5e6,1.156e-3,49.29,2,2,2,2,2,2,2,1,2,2,2,2,318.3e6
6.876e3,nom,8,37,20,60,600,37,20,60,600,pass,5.032e-9,6.507e-9,19.39e-6,51.43,279.8e6,5.537e6,283.3e6,1.156e-3,49.28,2,2,2,2,2,2,2,1,2,2,2,2,307.4e6
6.877e3,nom,8,37,20,60,700,37,20,60,700,pass,5.066e-9,6.506e-9,18.64e-6,50.67,257.9e6,5.16e6,259.4e6,1.156e-3,49.27,2,2,2,2,2,2,2,1,2,2,2,2,289.3e6
6.878e3,nom,8,37,20,60,800,37,20,60,800,pass,5.097e-9,6.507e-9,17.99e-6,50.17,240.6e6,4.852e6,242.3e6,1.156e-3,49.24,2,2,2,2,2,2,2,1,2,2,2,2,273.4e6
6.879e3,nom,8,37,20,60,900,37,20,60,900,pass,5.124e-9,6.508e-9,17.43e-6,49.79,225.5e6,4.592e6,228.4e6,1.156e-3,49.22,2,2,2,2,2,2,2,1,2,2,2,2,256.7e6
6.88e3,nom,8,37,20,60,1e3,37,20,60,1e3,pass,5.148e-9,6.51e-9,16.97e-6,49.5,212e6,4.351e6,214.2e6,1.156e-3,49.19,2,2,2,2,2,2,2,1,2,2,2,2,237.2e6
6.881e3,nom,8,37,20,100,100,37,20,100,100,pass,4.581e-9,6.872e-9,34.59e-6,74.61,652e6,9.632e6,654.4e6,1.744e-3,47.45,2,2,2,2,2,2,2,1,2,2,2,2,426.1e6
6.882e3,nom,8,37,20,100,200,37,20,100,200,pass,4.694e-9,6.681e-9,29.45e-6,70.08,455.1e6,7.986e6,460.6e6,1.744e-3,48.59,2,2,2,2,2,2,2,1,2,2,2,2,407.4e6
6.883e3,nom,8,37,20,100,300,37,20,100,300,pass,4.774e-9,6.603e-9,26.59e-6,66.06,392.4e6,7.095e6,393.4e6,1.744e-3,48.96,2,2,2,2,2,2,2,1,2,2,2,2,368e6
6.884e3,nom,8,37,20,100,400,37,20,100,400,pass,4.837e-9,6.562e-9,24.68e-6,63.74,350.8e6,6.386e6,355.2e6,1.744e-3,49.13,2,2,2,2,2,2,2,1,2,2,2,2,339.7e6
6.885e3,nom,8,37,20,100,500,37,20,100,500,pass,4.887e-9,6.54e-9,23.28e-6,62.27,318.9e6,5.879e6,319.6e6,1.745e-3,49.21,2,2,2,2,2,2,2,1,2,2,2,2,315e6
6.886e3,nom,8,37,20,100,600,37,20,100,600,pass,4.929e-9,6.526e-9,22.19e-6,61.29,293.3e6,5.445e6,296.5e6,1.745e-3,49.26,2,2,2,2,2,2,2,1,2,2,2,2,297.7e6
6.887e3,nom,8,37,20,100,700,37,20,100,700,pass,4.966e-9,6.518e-9,21.3e-6,60.6,272e6,5.052e6,275.2e6,1.745e-3,49.28,2,2,2,2,2,2,2,1,2,2,2,2,266.7e6
6.888e3,nom,8,37,20,100,800,37,20,100,800,pass,4.998e-9,6.513e-9,20.57e-6,60.1,253.8e6,4.754e6,254.4e6,1.745e-3,49.29,2,2,2,2,2,2,2,1,2,2,2,2,261.2e6
6.889e3,nom,8,37,20,100,900,37,20,100,900,pass,5.027e-9,6.509e-9,19.94e-6,59.74,238.2e6,4.488e6,240.2e6,1.745e-3,49.29,2,2,2,2,2,2,2,1,2,2,2,2,246.6e6
6.89e3,nom,8,37,20,100,1e3,37,20,100,1e3,pass,5.053e-9,6.508e-9,19.39e-6,59.48,224.5e6,4.239e6,227.3e6,1.745e-3,49.28,2,2,2,2,2,2,2,1,2,2,2,2,230.8e6
6.891e3,nom,8,37,20,140,100,37,20,140,100,near,4.542e-9,6.992e-9,37.21e-6,82.09,512.8e6,10.04e6,515.4e6,2.332e-3,46.53,2,2,2,2,2,2,2,1,1,2,2,2,415.8e6
6.892e3,nom,8,37,20,140,200,37,20,140,200,pass,4.634e-9,6.771e-9,32.06e-6,74.49,437.2e6,8.118e6,442.8e6,2.333e-3,48.13,2,2,2,2,2,2,2,1,2,2,2,2,393e6
6.893e3,nom,8,37,20,140,300,37,20,140,300,pass,4.708e-9,6.67e-9,29.09e-6,71.32,390.7e6,7.116e6,392.1e6,2.333e-3,48.67,2,2,2,2,2,2,2,1,2,2,2,2,361.3e6
6.894e3,nom,8,37,20,140,400,37,20,140,400,pass,4.766e-9,6.614e-9,27.06e-6,68.39,346.9e6,6.381e6,351.3e6,2.333e-3,48.93,2,2,2,2,2,2,2,1,2,2,2,2,330.2e6
6.895e3,nom,8,37,20,140,500,37,20,140,500,pass,4.815e-9,6.58e-9,25.55e-6,67.48,319.2e6,5.844e6,320e6,2.333e-3,49.08,2,2,2,2,2,2,2,1,2,2,2,2,310.8e6
6.896e3,nom,8,37,20,140,600,37,20,140,600,pass,4.857e-9,6.557e-9,24.36e-6,66.82,295.7e6,5.387e6,298.7e6,2.334e-3,49.16,2,2,2,2,2,2,2,1,2,2,2,2,286.9e6
6.897e3,nom,8,37,20,140,700,37,20,140,700,pass,4.898e-9,6.54e-9,23.28e-6,66.25,275.4e6,4.99e6,278.8e6,2.334e-3,49.21,2,2,2,2,2,2,2,1,2,2,2,2,256.6e6
6.898e3,nom,8,37,20,140,800,37,20,140,800,pass,4.929e-9,6.53e-9,22.49e-6,65.56,256.6e6,4.699e6,257.8e6,2.334e-3,49.25,2,2,2,2,2,2,2,1,2,2,2,2,251.9e6
6.899e3,nom,8,37,20,140,900,37,20,140,900,pass,4.958e-9,6.523e-9,21.81e-6,65.36,241.5e6,4.422e6,243.1e6,2.334e-3,49.27,2,2,2,2,2,2,2,1,2,2,2,2,237.2e6
6.9e3,nom,8,37,20,140,1e3,37,20,140,1e3,pass,4.984e-9,6.518e-9,21.22e-6,65.2,228.1e6,4.166e6,230.8e6,2.334e-3,49.28,2,2,2,2,2,2,2,1,2,2,2,2,226.5e6
6.901e3,nom,8,37,20,180,100,37,20,180,100,near,4.527e-9,7.128e-9,39.62e-6,86.75,533.6e6,10.41e6,539.5e6,2.921e-3,45.55,2,2,2,2,2,2,2,1,1,2,2,2,388.5e6
6.902e3,nom,8,37,20,180,200,37,20,180,200,pass,4.598e-9,6.842e-9,33.87e-6,78.83,446.7e6,8.239e6,452.6e6,2.922e-3,47.67,2,2,2,2,2,2,2,1,2,2,2,2,378.7e6
6.903e3,nom,8,37,20,180,300,37,20,180,300,pass,4.661e-9,6.735e-9,31.07e-6,73.66,380.3e6,7.164e6,383.3e6,2.922e-3,48.37,2,2,2,2,2,2,2,1,2,2,2,2,351.3e6
6.904e3,nom,8,37,20,180,400,37,20,180,400,pass,4.721e-9,6.661e-9,28.76e-6,72.49,349.2e6,6.365e6,353.8e6,2.922e-3,48.7,2,2,2,2,2,2,2,1,2,2,2,2,320.7e6
6.905e3,nom,8,37,20,180,500,37,20,180,500,pass,4.765e-9,6.621e-9,27.31e-6,70.75,317.6e6,5.828e6,318e6,2.923e-3,48.91,2,2,2,2,2,2,2,1,2,2,2,2,301.3e6
6.906e3,nom,8,37,20,180,600,37,20,180,600,pass,4.809e-9,6.588e-9,25.94e-6,70.33,295.3e6,5.357e6,298.3e6,2.923e-3,49.03,2,2,2,2,2,2,2,1,2,2,2,2,279e6
6.907e3,nom,8,37,20,180,700,37,20,180,700,pass,4.842e-9,6.569e-9,25.01e-6,69.52,274.1e6,4.96e6,277.5e6,2.923e-3,49.12,2,2,2,2,2,2,2,1,2,2,2,2,263.1e6
6.908e3,nom,8,37,20,180,800,37,20,180,800,pass,4.876e-9,6.553e-9,24.07e-6,69.34,257.3e6,4.652e6,258.6e6,2.923e-3,49.17,2,2,2,2,2,2,2,1,2,2,2,2,239.1e6
6.909e3,nom,8,37,20,180,900,37,20,180,900,pass,4.907e-9,6.54e-9,23.28e-6,69.19,242.4e6,4.371e6,243.9e6,2.923e-3,49.21,2,2,2,2,2,2,2,1,2,2,2,2,230.4e6
6.91e3,nom,8,37,20,180,1e3,37,20,180,1e3,pass,4.931e-9,6.533e-9,22.7e-6,68.84,228.5e6,4.117e6,231.3e6,2.923e-3,49.24,2,2,2,2,2,2,2,1,2,2,2,2,218.2e6
6.911e3,nom,8,37,20,220,100,37,20,220,100,near,4.554e-9,7.274e-9,41.45e-6,89.46,571.9e6,10.77e6,578.4e6,3.511e-3,44.49,2,2,2,2,2,2,2,1,1,2,2,2,353e6
6.912e3,nom,8,37,20,220,200,37,20,220,200,near,4.571e-9,6.906e-9,35.36e-6,78.06,413.9e6,8.42e6,417.3e6,3.51e-3,47.21,2,2,2,2,2,2,2,1,1,2,2,2,369e6
6.913e3,nom,8,37,20,220,300,37,20,220,300,pass,4.628e-9,6.792e-9,32.6e-6,76.64,379.9e6,7.192e6,383e6,3.511e-3,48.06,2,2,2,2,2,2,2,1,2,2,2,2,340.2e6
6.914e3,nom,8,37,20,220,400,37,20,220,400,pass,4.685e-9,6.706e-9,30.21e-6,73.93,342.6e6,6.399e6,346.8e6,3.511e-3,48.47,2,2,2,2,2,2,2,1,2,2,2,2,314.2e6
6.915e3,nom,8,37,20,220,500,37,20,220,500,pass,4.727e-9,6.661e-9,28.75e-6,73.72,317.3e6,5.803e6,317.6e6,3.512e-3,48.73,2,2,2,2,2,2,2,1,2,2,2,2,292.7e6
6.916e3,nom,8,37,20,220,600,37,20,220,600,pass,4.77e-9,6.621e-9,27.31e-6,72.51,292.9e6,5.345e6,296.1e6,3.512e-3,48.89,2,2,2,2,2,2,2,1,2,2,2,2,272.6e6
6.917e3,nom,8,37,20,220,700,37,20,220,700,pass,4.802e-9,6.598e-9,26.36e-6,72.49,273.9e6,4.921e6,277.3e6,3.512e-3,49.01,2,2,2,2,2,2,2,1,2,2,2,2,253.6e6
6.918e3,nom,8,37,20,220,800,37,20,220,800,pass,4.836e-9,6.577e-9,25.36e-6,71.82,256.2e6,4.624e6,257.3e6,3.512e-3,49.08,2,2,2,2,2,2,2,1,2,2,2,2,234.3e6
6.919e3,nom,8,37,20,220,900,37,20,220,900,pass,4.861e-9,6.564e-9,24.68e-6,71.87,241.5e6,4.329e6,243.1e6,3.512e-3,49.14,2,2,2,2,2,2,2,1,2,2,2,2,224.7e6
6.92e3,nom,8,37,20,220,1e3,37,20,220,1e3,pass,4.889e-9,6.551e-9,23.93e-6,71.47,228e6,4.078e6,230.8e6,3.512e-3,49.18,2,2,2,2,2,2,2,1,2,2,2,2,213.8e6
6.921e3,nom,8,37,20,260,100,37,20,260,100,near,4.998e-9,8.501e-9,47.1e-6,95.42,485.9e6,10.52e6,488.5e6,4.102e-3,42.33,2,2,2,2,2,2,2,1,1,2,2,2,325.4e6
6.922e3,nom,8,37,20,260,200,37,20,260,200,near,4.544e-9,6.992e-9,37.15e-6,80.4,408.3e6,8.507e6,410.6e6,4.1e-3,46.74,2,2,2,2,2,2,2,1,1,2,2,2,360.2e6
6.923e3,nom,8,37,20,260,300,37,20,260,300,pass,4.603e-9,6.842e-9,33.85e-6,79.04,379.3e6,7.229e6,382.4e6,4.101e-3,47.75,2,2,2,2,2,2,2,1,2,2,2,2,331.2e6
6.924e3,nom,8,37,20,260,400,37,20,260,400,pass,4.655e-9,6.753e-9,31.55e-6,76.16,340.6e6,6.395e6,344.7e6,4.101e-3,48.25,2,2,2,2,2,2,2,1,2,2,2,2,310.7e6
6.925e3,nom,8,37,20,260,500,37,20,260,500,pass,4.7e-9,6.694e-9,29.81e-6,74.66,312.7e6,5.829e6,313.4e6,4.101e-3,48.54,2,2,2,2,2,2,2,1,2,2,2,2,287.7e6
6.926e3,nom,8,37,20,260,600,37,20,260,600,pass,4.74e-9,6.652e-9,28.44e-6,74.73,291.7e6,5.319e6,295e6,4.101e-3,48.74,2,2,2,2,2,2,2,1,2,2,2,2,267.7e6
6.927e3,nom,8,37,20,260,700,37,20,260,700,pass,4.767e-9,6.628e-9,27.57e-6,74.05,271.4e6,4.911e6,274.6e6,4.101e-3,48.89,2,2,2,2,2,2,2,1,2,2,2,2,247.9e6
6.928e3,nom,8,37,20,260,800,37,20,260,800,pass,4.8e-9,6.604e-9,26.58e-6,74.12,255.1e6,4.585e6,256.1e6,4.101e-3,48.98,2,2,2,2,2,2,2,1,2,2,2,2,236.7e6
6.929e3,nom,8,37,20,260,900,37,20,260,900,pass,4.828e-9,6.585e-9,25.74e-6,73.65,240e6,4.308e6,241.9e6,4.101e-3,49.05,2,2,2,2,2,2,2,1,2,2,2,2,219.6e6
6.93e3,nom,8,37,20,260,1e3,37,20,260,1e3,pass,4.854e-9,6.57e-9,25.01e-6,73.33,226.9e6,4.052e6,229.7e6,4.101e-3,49.11,2,2,2,2,2,2,2,1,2,2,2,2,210.4e6
6.931e3,nom,8,37,14,20,100,37,14,20,100,pass,5.669e-9,7.19e-9,25.2e-6,52.94,383.4e6,6.416e6,385.4e6,486.8e-6,49.73,2,2,2,2,2,2,2,1,2,2,2,2,338.3e6
6.932e3,nom,8,37,14,20,200,37,14,20,200,pass,5.861e-9,7.185e-9,20.87e-6,45.12,299.6e6,5.764e6,302e6,487e-6,49.82,2,2,2,2,2,2,2,1,2,2,2,2,301.7e6
6.933e3,nom,8,37,14,20,300,37,14,20,300,near,5.973e-9,7.205e-9,18.67e-6,41.08,255.5e6,5.249e6,256.5e6,487.1e-6,49.76,2,2,2,2,2,2,2,1,2,2,2,2,286.6e6
6.934e3,nom,8,37,14,20,400,37,14,20,400,fail,6.05e-9,7.225e-9,17.25e-6,38.66,225.1e6,4.835e6,228e6,487.2e-6,49.69,2,2,2,2,2,2,2,1,2,2,2,2,259.8e6
6.935e3,nom,8,37,14,20,500,37,14,20,500,fail,6.108e-9,7.243e-9,16.23e-6,37.08,202.3e6,4.502e6,203e6,487.2e-6,49.61,2,2,2,2,2,2,2,1,2,2,2,2,238.4e6
6.936e3,nom,8,37,14,20,600,37,14,20,600,fail,6.155e-9,7.259e-9,15.46e-6,36,184.3e6,4.198e6,186.5e6,487.3e-6,49.53,2,2,2,2,2,2,2,1,2,2,2,2,218.9e6
6.937e3,nom,8,37,14,20,700,37,14,20,700,fail,6.193e-9,7.272e-9,14.83e-6,35.2,169.6e6,3.929e6,171.6e6,487.3e-6,49.46,2,2,2,2,2,2,2,1,2,2,2,2,210.2e6
6.938e3,nom,8,37,14,20,800,37,14,20,800,fail,6.227e-9,7.283e-9,14.32e-6,34.62,157.3e6,3.719e6,157.6e6,487.3e-6,49.4,2,2,2,2,2,2,2,1,2,2,2,2,197.2e6
6.939e3,nom,8,37,14,20,900,37,14,20,900,fail,6.256e-9,7.293e-9,13.89e-6,34.17,146.9e6,3.522e6,148.6e6,487.4e-6,49.34,2,2,2,2,2,2,2,1,2,2,2,2,177.2e6
6.94e3,nom,8,37,14,20,1e3,37,14,20,1e3,fail,6.282e-9,7.302e-9,13.52e-6,33.83,137.8e6,3.337e6,139.7e6,487.4e-6,49.29,2,2,2,2,2,2,2,1,2,2,2,2,169.3e6
6.941e3,nom,8,37,14,60,100,37,14,60,100,pass,5.391e-9,7.376e-9,33.96e-6,74.85,388.8e6,6.806e6,390.6e6,1.074e-3,48.83,2,2,2,2,2,2,2,1,2,2,2,2,320.2e6
6.942e3,nom,8,37,14,60,200,37,14,60,200,pass,5.564e-9,7.228e-9,28.19e-6,67.43,336e6,5.826e6,339.5e6,1.075e-3,49.52,2,2,2,2,2,2,2,1,2,2,2,2,290.3e6
6.943e3,nom,8,37,14,60,300,37,14,60,300,pass,5.679e-9,7.189e-9,25.2e-6,63.72,297.7e6,5.197e6,300.4e6,1.075e-3,49.72,2,2,2,2,2,2,2,1,2,2,2,2,264.3e6
6.944e3,nom,8,37,14,60,400,37,14,60,400,pass,5.758e-9,7.18e-9,23.4e-6,61.13,264.9e6,4.738e6,267.5e6,1.075e-3,49.8,2,2,2,2,2,2,2,1,2,2,2,2,243.4e6
6.945e3,nom,8,37,14,60,500,37,14,60,500,pass,5.827e-9,7.18e-9,21.97e-6,59.76,242.2e6,4.369e6,243.7e6,1.075e-3,49.82,2,2,2,2,2,2,2,1,2,2,2,2,228e6
6.946e3,nom,8,37,14,60,600,37,14,60,600,pass,5.884e-9,7.184e-9,20.86e-6,58.8,223.3e6,4.039e6,226.1e6,1.075e-3,49.81,2,2,2,2,2,2,2,1,2,2,2,2,209.8e6
6.947e3,nom,8,37,14,60,700,37,14,60,700,pass,5.929e-9,7.19e-9,20.04e-6,57.99,206.5e6,3.786e6,208e6,1.075e-3,49.81,2,2,2,2,2,2,2,1,2,2,2,2,196.8e6
6.948e3,nom,8,37,14,60,800,37,14,60,800,pass,5.972e-9,7.197e-9,19.3e-6,57.5,193e6,3.563e6,194.1e6,1.075e-3,49.79,2,2,2,2,2,2,2,1,2,2,2,2,176.8e6
6.949e3,nom,8,37,14,60,900,37,14,60,900,pass,6.01e-9,7.205e-9,18.67e-6,57.12,181.1e6,3.357e6,183.3e6,1.075e-3,49.76,2,2,2,2,2,2,2,1,2,2,2,2,173.6e6
6.95e3,nom,8,37,14,60,1e3,37,14,60,1e3,pass,6.042e-9,7.211e-9,18.16e-6,56.8,170.5e6,3.166e6,172.5e6,1.075e-3,49.74,2,2,2,2,2,2,2,1,2,2,2,2,165e6
