Point,Corner,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg1,nf_Mp_stg2,nf_Rz,nf_Mp3,nf_Mp4,Pass/Fail,CMRR_DC,OPAMP_RAK:OPAMP_DC:1,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Region_Drive_1,Region_Drive_2,Region_Mn_tail1,Region_Mn_tail2,Region_Mp_stg1_1,Region_Mp_stg1_2,Region_Mp_stg2,Region_Mp_Rz,Region_Mn2,Region_Mp3,Region_Mp4,Region_Mn_ibias,Slew Rate Value,PSRR_DC
67,nom,2,52,44,230,20,216,74,2,1,near,64.85,done,4.21e-9,5.901e-9,27.13e-6,67.93,445e6,9.301e6,450.7e6,1.959e-3,47.31,2,2,2,2,2,2,2,1,1,2,2,2,398.8e6,-47.78
60,nom,2,52,22,230,41,864,393,14,7,near,64.9,done,6.143e-9,7.154e-9,22.12e-6,71.2,204.1e6,3.457e6,205.1e6,1.815e-3,49.78,3,3,2,2,2,2,2,1,2,2,2,2,153.6e6,-50.69
71,nom,2,52,44,460,20,432,148,2,1,near,64.91,done,4.213e-9,5.901e-9,27.12e-6,68.02,382.5e6,8.114e6,385.1e6,3.622e-3,47.31,2,2,2,2,2,2,2,1,1,2,2,2,342.9e6,-47.77
142,nom,4,52,22,460,5,216,74,2,1,near,65.96,done,7.967e-9,9.463e-9,40.45e-6,80.84,143.4e6,2.815e6,145.2e6,1.719e-3,48.26,3,3,2,2,2,2,2,1,2,2,2,2,94.86e6,-48.84
58,nom,2,52,22,230,10,216,74,2,1,near,66.47,done,5.746e-9,7.297e-9,32.65e-6,73.93,256.9e6,5.154e6,258.2e6,1.813e-3,48,3,3,2,2,2,2,2,1,1,2,2,2,194.9e6,-48.41
62,nom,2,52,22,460,10,432,148,2,1,near,66.55,done,5.751e-9,7.297e-9,32.65e-6,78.28,229.8e6,4.499e6,232.6e6,3.477e-3,47.99,3,3,2,2,2,2,2,1,1,2,2,2,167.5e6,-48.4
19,nom,2,13,88,115,82,216,90,6,3,pass,50.04,done,5.44e-9,9.846e-9,34.49e-6,58.22,429.5e6,11.63e6,434.1e6,1.39e-3,44.23,2,2,2,2,2,2,2,1,2,2,2,2,551.4e6,-44.75
23,nom,2,13,88,230,82,432,181,6,3,pass,50.06,done,5.442e-9,9.845e-9,34.49e-6,65.62,407.5e6,10.47e6,409.4e6,2.221e-3,44.22,2,2,2,2,2,2,2,1,2,2,2,2,682.6e6,-44.73
27,nom,2,13,88,460,82,864,363,6,3,pass,50.08,done,5.449e-9,9.845e-9,34.48e-6,70.74,327.7e6,8.559e6,330.1e6,3.884e-3,44.22,2,2,2,2,2,2,2,1,2,2,2,2,543.6e6,-44.73
20,nom,2,13,88,115,165,432,196,14,7,pass,50.34,done,5.554e-9,9.763e-9,29.6e-6,49.84,363.2e6,10.32e6,367.3e6,1.39e-3,44.54,2,2,2,2,2,2,2,1,2,2,2,2,804.2e6,-45.28
24,nom,2,13,88,230,165,864,393,14,7,pass,50.36,done,5.56e-9,9.762e-9,29.6e-6,56.69,307.7e6,8.651e6,309.2e6,2.222e-3,44.54,2,2,2,2,2,2,2,1,2,2,2,2,607.6e6,-45.27
21,nom,2,13,88,115,330,864,406,30,15,pass,50.45,done,5.656e-9,9.72e-9,25.75e-6,43.63,281.4e6,8.751e6,285e6,1.391e-3,44.54,2,2,2,2,2,2,2,1,2,2,2,2,707.7e6,-45.43
12,nom,2,13,44,115,165,864,406,30,15,pass,57.38,done,6.703e-9,9.883e-9,25.83e-6,57.16,231.1e6,5.134e6,233.4e6,1.121e-3,46.5,2,2,2,2,2,2,2,1,2,2,2,2,324.5e6,-47.49
11,nom,2,13,44,115,82,432,196,14,7,pass,57.4,done,6.503e-9,9.882e-9,30.25e-6,61.67,265.2e6,6.114e6,267.7e6,1.121e-3,46.45,2,2,2,2,2,2,2,1,2,2,2,2,368.7e6,-47.32
15,nom,2,13,44,230,82,864,393,14,7,pass,57.44,done,6.516e-9,9.881e-9,30.25e-6,66.43,219.5e6,5.039e6,222.3e6,1.953e-3,46.44,2,2,2,2,2,2,2,1,2,2,2,2,300.2e6,-47.31
10,nom,2,13,44,115,41,216,90,6,3,pass,57.51,done,6.298e-9,9.934e-9,35.67e-6,68.97,302.7e6,6.95e6,304.9e6,1.121e-3,46.05,2,2,2,2,2,2,2,1,2,2,2,2,369.5e6,-46.71
14,nom,2,13,44,230,41,432,181,6,3,pass,57.56,done,6.303e-9,9.933e-9,35.67e-6,70.75,264.9e6,6.169e6,267.5e6,1.952e-3,46.05,2,2,2,2,2,2,2,1,2,2,2,2,339.9e6,-46.69
18,nom,2,13,44,460,41,864,363,6,3,pass,57.58,done,6.318e-9,9.934e-9,35.67e-6,77.39,222.5e6,4.982e6,225.4e6,3.615e-3,46.05,2,2,2,2,2,2,2,1,2,2,2,2,264.4e6,-46.68
102,nom,4,13,88,115,330,864,406,60,30,pass,57.59,done,6.92e-9,9.93e-9,22.31e-6,41.61,183.9e6,5.173e6,186e6,696.1e-6,46.18,2,2,2,2,2,2,2,1,2,2,2,2,354.2e6,-47.46
48,nom,2,26,88,115,330,864,406,30,15,pass,57.71,done,4.215e-9,6.649e-9,18.26e-6,32.37,381e6,10.02e6,383.7e6,1.408e-3,46.5,2,2,2,2,2,2,2,1,2,2,2,2,751e6,-47.51
101,nom,4,13,88,115,165,432,203,30,15,pass,57.78,done,6.744e-9,9.9e-9,25.73e-6,47.89,242.8e6,6.057e6,244.2e6,695.8e-6,46.32,2,2,2,2,2,2,2,1,2,2,2,2,399.8e6,-47.52
105,nom,4,13,88,230,165,864,406,30,15,pass,57.82,done,6.755e-9,9.9e-9,25.73e-6,55.26,205.9e6,5.101e6,207.2e6,1.106e-3,46.32,2,2,2,2,2,2,2,1,2,2,2,2,321.6e6,-47.51
100,nom,4,13,88,115,82,216,98,14,7,pass,57.87,done,6.545e-9,9.896e-9,30.14e-6,56.29,297.4e6,6.696e6,299.8e6,695.5e-6,46.26,2,2,2,2,2,2,2,1,2,2,2,2,395.1e6,-47.35
47,nom,2,26,88,115,165,432,196,14,7,pass,57.88,done,4.142e-9,6.697e-9,21.35e-6,40.32,452.3e6,11.96e6,457.7e6,1.407e-3,46.44,2,2,2,2,2,2,2,1,2,2,2,2,880.8e6,-47.31
104,nom,4,13,88,230,82,432,196,14,7,pass,57.91,done,6.549e-9,9.895e-9,30.14e-6,61.35,257.2e6,6.082e6,258.5e6,1.106e-3,46.25,2,2,2,2,2,2,2,1,2,2,2,2,362.2e6,-47.33
51,nom,2,26,88,230,165,864,393,14,7,pass,57.92,done,4.147e-9,6.697e-9,21.34e-6,48.46,390.2e6,9.995e6,391.7e6,2.239e-3,46.44,2,2,2,2,2,2,2,1,2,2,2,2,638.4e6,-47.3
108,nom,4,13,88,460,82,864,393,14,7,pass,57.93,done,6.562e-9,9.895e-9,30.13e-6,69.82,223.4e6,4.986e6,226.3e6,1.926e-3,46.25,2,2,2,2,2,2,2,1,2,2,2,2,295.4e6,-47.33
46,nom,2,26,88,115,82,216,90,6,3,pass,58.01,done,4.061e-9,6.783e-9,25.2e-6,46.24,614.3e6,13.51e6,616.5e6,1.407e-3,46.05,2,2,2,2,2,2,2,1,2,2,2,2,755.5e6,-46.72
50,nom,2,26,88,230,82,432,181,6,3,pass,58.06,done,4.063e-9,6.783e-9,25.2e-6,55.79,538.3e6,12.21e6,543.6e6,2.238e-3,46.05,2,2,2,2,2,2,2,1,2,2,2,2,735.4e6,-46.7
106,nom,4,13,88,460,20,216,74,2,1,pass,58.08,done,6.139e-9,10.08e-9,42.21e-6,76.57,287.4e6,7.235e6,291e6,1.924e-3,44.91,2,2,2,2,2,2,2,1,2,2,2,2,342.6e6,-45.53
54,nom,2,26,88,460,82,864,363,6,3,pass,58.09,done,4.07e-9,6.782e-9,25.2e-6,63.7,435.3e6,9.975e6,440.6e6,3.902e-3,46.05,2,2,2,2,2,2,2,1,2,2,2,2,582.9e6,-46.7
103,nom,4,13,88,230,41,216,90,6,3,pass,58.14,done,6.34e-9,9.943e-9,35.55e-6,71.86,312.8e6,6.91e6,313.4e6,1.105e-3,45.85,2,2,2,2,2,2,2,1,2,2,2,2,362.3e6,-46.71
107,nom,4,13,88,460,41,432,181,6,3,pass,58.17,done,6.346e-9,9.943e-9,35.54e-6,74.01,267e6,6.114e6,269.9e6,1.925e-3,45.85,2,2,2,2,2,2,2,1,2,2,2,2,339.9e6,-46.7
187,nom,8,13,88,460,20,216,90,6,3,pass,59.07,done,7.825e-9,10.82e-9,39.19e-6,79.27,187.3e6,3.944e6,189.2e6,962.9e-6,46.98,2,2,2,2,2,2,2,1,2,2,2,2,190.1e6,-48.2
182,nom,8,13,88,115,165,432,203,60,30,pass,59.19,done,8.754e-9,11.02e-9,23.15e-6,46.82,164.1e6,3.479e6,165e6,352.2e-6,47.51,2,2,2,2,2,2,2,1,2,2,2,2,201.2e6,-49
186,nom,8,13,88,230,165,864,406,60,30,pass,59.23,done,8.776e-9,11.02e-9,23.15e-6,56.97,137.3e6,2.959e6,138.8e6,556.1e-6,47.51,2,2,2,2,2,2,2,1,2,2,2,2,168.8e6,-48.99
181,nom,8,13,88,115,82,216,101,30,15,pass,59.28,done,8.457e-9,10.9e-9,27.37e-6,54.41,210.7e6,3.793e6,212.1e6,352e-6,47.6,2,2,2,2,2,2,2,1,2,2,2,2,209.8e6,-49.03
185,nom,8,13,88,230,82,432,203,30,15,pass,59.32,done,8.467e-9,10.9e-9,27.36e-6,64.03,176.8e6,3.483e6,178.8e6,555.8e-6,47.6,2,2,2,2,2,2,2,1,2,2,2,2,193.2e6,-49.02
189,nom,8,13,88,460,82,864,406,30,15,pass,59.34,done,8.491e-9,10.9e-9,27.36e-6,69.72,140.7e6,2.897e6,142.5e6,963.7e-6,47.59,2,2,2,2,2,2,2,1,2,2,2,2,158.4e6,-49.01
184,nom,8,13,88,230,41,216,98,14,7,pass,59.45,done,8.145e-9,10.82e-9,32.59e-6,72.54,203.8e6,3.863e6,204.7e6,555.5e-6,47.46,2,2,2,2,2,2,2,1,2,2,2,2,192.8e6,-48.75
188,nom,8,13,88,460,41,432,196,14,7,pass,59.47,done,8.155e-9,10.82e-9,32.59e-6,74.81,170.5e6,3.472e6,172.6e6,963.4e-6,47.45,2,2,2,2,2,2,2,1,2,2,2,2,182.9e6,-48.75
94,nom,4,13,44,230,20,216,90,6,3,pass,59.97,done,7.78e-9,10.79e-9,39.24e-6,80.2,193e6,3.945e6,194.1e6,968.3e-6,47.22,2,2,2,2,2,2,2,1,2,2,2,2,186.4e6,-48.25
98,nom,4,13,44,460,20,432,181,6,3,pass,60,done,7.791e-9,10.79e-9,39.24e-6,80.39,167.8e6,3.498e6,169.5e6,1.789e-3,47.22,2,2,2,2,2,2,2,1,2,2,2,2,163.2e6,-48.24
93,nom,4,13,44,115,165,864,406,60,30,pass,60.02,done,8.719e-9,10.98e-9,23.2e-6,56.83,141.4e6,2.956e6,143.1e6,559.1e-6,47.72,2,2,2,2,2,2,2,1,2,2,2,2,165.4e6,-49.01
92,nom,4,13,44,115,82,432,203,30,15,pass,60.12,done,8.414e-9,10.87e-9,27.41e-6,64.01,183.2e6,3.475e6,185.1e6,558.9e-6,47.81,2,2,2,2,2,2,2,1,2,2,2,2,191e6,-49.05
96,nom,4,13,44,230,82,864,406,30,15,pass,60.16,done,8.439e-9,10.87e-9,27.41e-6,70.14,145.3e6,2.9e6,147e6,969e-6,47.81,2,2,2,2,2,2,2,1,2,2,2,2,157e6,-49.04
129,nom,4,26,88,115,330,864,406,60,30,pass,60.18,done,5.58e-9,7.324e-9,16.4e-6,32.8,233.1e6,5.785e6,235.5e6,700.7e-6,47.71,2,2,2,2,2,2,2,1,2,2,2,2,365.4e6,-49.03
91,nom,4,13,44,115,41,216,98,14,7,pass,60.28,done,8.093e-9,10.79e-9,32.63e-6,72.84,211.9e6,3.853e6,213.9e6,558.6e-6,47.69,2,2,2,2,2,2,2,1,2,2,2,2,194.8e6,-48.81
95,nom,4,13,44,230,41,432,196,14,7,pass,60.33,done,8.103e-9,10.79e-9,32.62e-6,75.54,176.2e6,3.475e6,178.5e6,968.7e-6,47.69,2,2,2,2,2,2,2,1,2,2,2,2,180.6e6,-48.79
99,nom,4,13,44,460,41,864,393,14,7,pass,60.35,done,8.13e-9,10.79e-9,32.62e-6,77.72,141.6e6,2.845e6,143.4e6,1.789e-3,47.68,2,2,2,2,2,2,2,1,2,2,2,2,143.3e6,-48.79
128,nom,4,26,88,115,165,432,203,30,15,pass,60.4,done,5.445e-9,7.306e-9,19.35e-6,39.94,286.7e6,6.792e6,290.1e6,700.5e-6,47.81,2,2,2,2,2,2,2,1,2,2,2,2,418.4e6,-49.04
132,nom,4,26,88,230,165,864,406,30,15,pass,60.44,done,5.453e-9,7.306e-9,19.34e-6,48.98,271.4e6,5.741e6,274.2e6,1.111e-3,47.81,2,2,2,2,2,2,2,1,2,2,2,2,336.5e6,-49.03
1,nom,2,13,22,115,20,216,90,6,3,pass,60.46,done,7.723e-9,10.76e-9,39.3e-6,80.86,198.9e6,3.948e6,199e6,980.3e-6,47.44,2,2,2,2,2,2,2,1,2,2,2,2,186.7e6,-48.25
175,nom,8,13,44,230,20,216,98,14,7,pass,60.51,done,10.44e-9,12.65e-9,37.49e-6,81.85,117.3e6,2.164e6,118.6e6,487.2e-6,48.53,2,2,2,2,2,2,2,1,2,2,2,2,98.33e6,-49.97
97,nom,4,13,44,460,10,216,74,2,1,pass,60.51,done,7.506e-9,10.92e-9,46.74e-6,81.58,181.8e6,4.156e6,184.1e6,1.787e-3,46.19,2,2,2,2,2,2,2,1,2,2,2,2,170.3e6,-46.84
5,nom,2,13,22,230,20,432,181,6,3,pass,60.52,done,7.734e-9,10.76e-9,39.3e-6,80.97,172.8e6,3.517e6,175e6,1.812e-3,47.44,2,2,2,2,2,2,2,1,2,2,2,2,163.1e6,-48.23
127,nom,4,26,88,115,82,216,98,14,7,pass,60.52,done,5.292e-9,7.313e-9,23.07e-6,44.45,399.7e6,7.517e6,400e6,700.2e-6,47.68,2,2,2,2,2,2,2,1,2,2,2,2,426.9e6,-48.81
178,nom,8,13,44,460,10,216,90,6,3,pass,60.52,done,10.02e-9,12.6e-9,45.28e-6,81.54,110.1e6,2.222e6,111.6e6,894.6e-6,47.98,2,2,2,2,2,2,2,1,2,2,2,2,93.78e6,-49.23
179,nom,8,13,44,460,20,432,196,14,7,pass,60.53,done,10.45e-9,12.65e-9,37.49e-6,81.49,101.3e6,1.926e6,101.6e6,895.1e-6,48.53,2,2,2,2,2,2,2,1,2,2,2,2,87.73e6,-49.96
9,nom,2,13,22,460,20,864,363,6,3,pass,60.55,done,7.763e-9,10.76e-9,39.3e-6,82.26,140.2e6,2.837e6,142e6,3.475e-3,47.44,2,2,2,2,2,2,2,1,2,2,2,2,128.2e6,-48.22
131,nom,4,26,88,230,82,432,196,14,7,pass,60.57,done,5.295e-9,7.312e-9,23.06e-6,55.36,348.6e6,6.86e6,352.2e6,1.11e-3,47.68,2,2,2,2,2,2,2,1,2,2,2,2,378.5e6,-48.8
135,nom,4,26,88,460,82,864,393,14,7,pass,60.6,done,5.307e-9,7.313e-9,23.06e-6,63.76,279.1e6,5.652e6,282.5e6,1.931e-3,47.68,2,2,2,2,2,2,2,1,2,2,2,2,310.2e6,-48.79
3,nom,2,13,22,115,82,864,406,30,15,pass,60.65,done,8.372e-9,10.83e-9,27.47e-6,70.33,150e6,2.908e6,151.3e6,980.9e-6,48.01,2,2,2,2,2,2,2,1,2,2,2,2,156.7e6,-49.04
173,nom,8,13,44,115,82,432,203,60,30,pass,60.7,done,11.33e-9,13.05e-9,25.51e-6,64.96,106.6e6,1.944e6,107.7e6,283.9e-6,48.68,2,2,2,2,2,2,2,1,2,2,2,2,97.11e6,-50.2
130,nom,4,26,88,230,41,216,90,6,3,pass,60.72,done,5.137e-9,7.369e-9,27.55e-6,64.19,396.1e6,7.79e6,396.4e6,1.11e-3,47.21,2,2,2,2,2,2,2,1,2,2,2,2,394.5e6,-48.1
177,nom,8,13,44,230,82,864,406,60,30,pass,60.74,done,11.38e-9,13.05e-9,25.51e-6,67.4,82.89e6,1.636e6,83.58e6,487.7e-6,48.67,2,2,2,2,2,2,2,1,2,2,2,2,80.79e6,-50.18
214,nom,8,26,88,460,20,216,90,6,3,pass,60.78,done,6.747e-9,8.638e-9,31.99e-6,72.21,218.5e6,4.411e6,221.2e6,964.8e-6,47.97,2,2,2,2,2,2,2,1,2,2,2,2,206e6,-49.22
172,nom,8,13,44,115,41,216,101,30,15,pass,60.83,done,10.89e-9,12.82e-9,30.78e-6,73.92,127.7e6,2.139e6,128.1e6,283.7e-6,48.71,2,2,2,2,2,2,2,1,2,2,2,2,103.5e6,-50.16
2,nom,2,13,22,115,41,432,196,14,7,pass,60.83,done,8.045e-9,10.75e-9,32.7e-6,76.02,181.9e6,3.48e6,184.2e6,980.7e-6,47.9,2,2,2,2,2,2,2,1,2,2,2,2,180.7e6,-48.78
209,nom,8,26,88,115,165,432,203,60,30,pass,60.86,done,7.487e-9,8.786e-9,18.01e-6,39.41,187.3e6,3.809e6,188.8e6,354.2e-6,48.67,2,2,2,2,2,2,2,1,2,2,2,2,207.1e6,-50.19
176,nom,8,13,44,230,41,432,203,30,15,pass,60.87,done,10.91e-9,12.82e-9,30.78e-6,76.34,105.4e6,1.932e6,106.4e6,487.5e-6,48.71,2,2,2,2,2,2,2,1,2,2,2,2,94.19e6,-50.15
6,nom,2,13,22,230,41,864,393,14,7,pass,60.88,done,8.071e-9,10.75e-9,32.7e-6,78.15,145.9e6,2.861e6,147.6e6,1.812e-3,47.89,2,2,2,2,2,2,2,1,2,2,2,2,143.4e6,-48.77
39,nom,2,26,44,115,165,864,406,30,15,pass,60.89,done,5.401e-9,7.275e-9,19.4e-6,48.53,281.3e6,5.781e6,284.4e6,1.126e-3,48,2,2,2,2,2,2,2,1,2,2,2,2,335.9e6,-49.04
180,nom,8,13,44,460,41,864,406,30,15,pass,60.89,done,10.95e-9,12.82e-9,30.78e-6,78.22,84.89e6,1.596e6,85.86e6,895.4e-6,48.71,2,2,2,2,2,2,2,1,2,2,2,2,75.93e6,-50.14
213,nom,8,26,88,230,165,864,406,60,30,pass,60.9,done,7.505e-9,8.786e-9,18e-6,50.53,160.4e6,3.242e6,160.8e6,558e-6,48.67,2,2,2,2,2,2,2,1,2,2,2,2,173.1e6,-50.18
208,nom,8,26,88,115,82,216,101,30,15,pass,60.94,done,7.249e-9,8.69e-9,21.76e-6,45.82,242.9e6,4.173e6,243.9e6,353.9e-6,48.71,2,2,2,2,2,2,2,1,2,2,2,2,217.5e6,-50.18
134,nom,4,26,88,460,41,432,181,6,3,pass,60.98,done,5.141e-9,7.369e-9,27.55e-6,68.64,336.1e6,6.95e6,339.5e6,1.93e-3,47.2,2,2,2,2,2,2,2,1,2,2,2,2,361.6e6,-48.09
212,nom,8,26,88,230,82,432,203,30,15,pass,60.98,done,7.259e-9,8.69e-9,21.75e-6,55.91,191.4e6,3.832e6,192.7e6,557.8e-6,48.71,2,2,2,2,2,2,2,1,2,2,2,2,199.8e6,-50.16
216,nom,8,26,88,460,82,864,406,30,15,pass,61,done,7.279e-9,8.69e-9,21.75e-6,61.7,159e6,3.18e6,159.1e6,965.6e-6,48.71,2,2,2,2,2,2,2,1,2,2,2,2,163.3e6,-50.15
38,nom,2,26,44,115,82,432,196,14,7,pass,61.01,done,5.246e-9,7.285e-9,23.12e-6,54.98,363.4e6,6.905e6,366.8e6,1.126e-3,47.89,2,2,2,2,2,2,2,1,2,2,2,2,385e6,-48.81
42,nom,2,26,44,230,82,864,393,14,7,pass,61.06,done,5.257e-9,7.284e-9,23.12e-6,64.11,290e6,5.714e6,293.3e6,1.957e-3,47.88,2,2,2,2,2,2,2,1,2,2,2,2,309.8e6,-48.8
133,nom,4,26,88,460,20,216,74,2,1,pass,61.12,done,4.986e-9,7.503e-9,33.02e-6,72.08,360.3e6,8.23e6,364.8e6,1.929e-3,46.18,2,2,2,2,2,2,2,1,2,2,2,2,383.8e6,-46.84
211,nom,8,26,88,230,41,216,98,14,7,pass,61.12,done,7.001e-9,8.627e-9,26.31e-6,63.92,226.2e6,4.287e6,228.8e6,557.4e-6,48.51,2,2,2,2,2,2,2,1,2,2,2,2,204.7e6,-49.84
215,nom,8,26,88,460,41,432,196,14,7,pass,61.15,done,7.01e-9,8.627e-9,26.31e-6,66.69,194.7e6,3.836e6,195.6e6,965.3e-6,48.51,2,2,2,2,2,2,2,1,2,2,2,2,191e6,-49.83
75,nom,2,52,88,115,330,864,406,30,15,pass,61.37,done,3.346e-9,4.809e-9,13.72e-6,24.4,434.2e6,11.29e6,440.1e6,1.417e-3,48,2,2,2,2,2,2,2,1,2,2,2,2,762.7e6,-49.05
37,nom,2,26,44,115,41,216,90,6,3,pass,61.39,done,5.091e-9,7.344e-9,27.61e-6,64.26,414e6,7.832e6,416.6e6,1.125e-3,47.42,2,2,2,2,2,2,2,1,2,2,2,2,403.2e6,-48.12
41,nom,2,26,44,230,41,432,181,6,3,pass,61.45,done,5.095e-9,7.344e-9,27.6e-6,69.37,349.2e6,7.021e6,353.6e6,1.957e-3,47.42,2,2,2,2,2,2,2,1,2,2,2,2,362.1e6,-48.1
45,nom,2,26,44,460,41,864,363,6,3,pass,61.49,done,5.108e-9,7.344e-9,27.6e-6,73.42,280.4e6,5.687e6,284.1e6,3.62e-3,47.42,2,2,2,2,2,2,2,1,2,2,2,2,287.6e6,-48.09
82,nom,4,13,22,115,20,216,98,14,7,pass,61.54,done,10.39e-9,12.61e-9,37.51e-6,82.53,120.3e6,2.145e6,121.3e6,488.9e-6,48.77,2,2,2,2,2,2,2,1,2,2,2,2,96.32e6,-50
86,nom,4,13,22,230,20,432,196,14,7,pass,61.59,done,10.41e-9,12.61e-9,37.51e-6,82.09,103.8e6,1.914e6,104.7e6,899e-6,48.77,2,2,2,2,2,2,2,1,2,2,2,2,86.01e6,-49.98
90,nom,4,13,22,460,20,864,393,14,7,pass,61.62,done,10.46e-9,12.62e-9,37.5e-6,82.91,84.51e6,1.562e6,85.43e6,1.719e-3,48.77,2,2,2,2,2,2,2,1,2,2,2,2,68.41e6,-49.97
85,nom,4,13,22,230,10,216,90,6,3,pass,61.67,done,9.98e-9,12.56e-9,45.29e-6,84.49,113.7e6,2.206e6,115.2e6,898.6e-6,48.23,2,2,2,2,2,2,2,1,2,2,2,2,91.52e6,-49.25
74,nom,2,52,88,115,165,432,196,14,7,pass,61.7,done,3.29e-9,4.859e-9,16.32e-6,32.33,521.4e6,13.45e6,525.7e6,1.417e-3,47.88,2,2,2,2,2,2,2,1,2,2,2,2,904.6e6,-48.79
89,nom,4,13,22,460,10,432,181,6,3,pass,61.7,done,9.999e-9,12.57e-9,45.29e-6,84.39,100e6,1.938e6,100e6,1.719e-3,48.23,2,2,2,2,2,2,2,1,2,2,2,2,79.88e6,-49.24
84,nom,4,13,22,115,82,864,406,60,30,pass,61.71,done,11.32e-9,13.01e-9,25.53e-6,67.53,84.74e6,1.625e6,85.66e6,489.4e-6,48.89,2,2,2,2,2,2,2,1,2,2,2,2,78.3e6,-50.2
78,nom,2,52,88,230,165,864,393,14,7,pass,61.77,done,3.293e-9,4.859e-9,16.32e-6,40.25,511.6e6,11.32e6,513.7e6,2.248e-3,47.88,2,2,2,2,2,2,2,1,2,2,2,2,655.4e6,-48.78
120,nom,4,26,44,115,165,864,406,60,30,pass,61.82,done,7.455e-9,8.749e-9,18.03e-6,50.2,165.3e6,3.236e6,166.4e6,560.9e-6,48.88,2,2,2,2,2,2,2,1,2,2,2,2,169.8e6,-50.21
121,nom,4,26,44,230,20,216,90,6,3,pass,61.84,done,6.706e-9,8.609e-9,32e-6,76.68,234.2e6,4.409e6,236.7e6,970e-6,48.22,2,2,2,2,2,2,2,1,2,2,2,2,202.5e6,-49.27
125,nom,4,26,44,460,20,432,181,6,3,pass,61.87,done,6.715e-9,8.609e-9,32e-6,77.59,202.2e6,3.878e6,202.8e6,1.79e-3,48.22,2,2,2,2,2,2,2,1,2,2,2,2,175.6e6,-49.26
83,nom,4,13,22,115,41,432,203,30,15,pass,61.88,done,10.86e-9,12.79e-9,30.8e-6,73.26,103.8e6,1.92e6,104.6e6,489.2e-6,48.94,2,2,2,2,2,2,2,1,2,2,2,2,91.61e6,-50.17
87,nom,4,13,22,230,41,864,406,30,15,pass,61.93,done,10.91e-9,12.79e-9,30.8e-6,75.64,85.42e6,1.587e6,86.42e6,899.2e-6,48.94,2,2,2,2,2,2,2,1,2,2,2,2,74.22e6,-50.15
119,nom,4,26,44,115,82,432,203,30,15,pass,61.93,done,7.212e-9,8.655e-9,21.77e-6,55.99,197.2e6,3.821e6,197.6e6,560.7e-6,48.93,2,2,2,2,2,2,2,1,2,2,2,2,196.1e6,-50.2
123,nom,4,26,44,230,82,864,406,30,15,pass,61.98,done,7.233e-9,8.655e-9,21.77e-6,62.01,163.6e6,3.183e6,164.7e6,970.7e-6,48.93,2,2,2,2,2,2,2,1,2,2,2,2,159e6,-50.19
156,nom,4,52,88,115,330,864,406,60,30,pass,62.08,done,4.728e-9,5.743e-9,12.75e-6,26.33,258.6e6,6.3e6,260.3e6,704.2e-6,48.88,2,2,2,2,2,2,2,1,2,2,2,2,368.4e6,-50.22
118,nom,4,26,44,115,41,216,98,14,7,pass,62.13,done,6.956e-9,8.594e-9,26.33e-6,65.62,258e6,4.268e6,259.1e6,560.4e-6,48.75,2,2,2,2,2,2,2,1,2,2,2,2,205.6e6,-49.88
122,nom,4,26,44,230,41,432,196,14,7,pass,62.18,done,6.965e-9,8.594e-9,26.33e-6,71.08,213.2e6,3.836e6,215.5e6,970.4e-6,48.75,2,2,2,2,2,2,2,1,2,2,2,2,188.3e6,-49.87
126,nom,4,26,44,460,41,864,393,14,7,pass,62.21,done,6.988e-9,8.595e-9,26.33e-6,74.53,170.3e6,3.134e6,172.3e6,1.791e-3,48.75,2,2,2,2,2,2,2,1,2,2,2,2,149.8e6,-49.86
73,nom,2,52,88,115,82,216,90,6,3,pass,62.24,done,3.228e-9,4.945e-9,19.52e-6,36.02,710.6e6,15.21e6,718.4e6,1.416e-3,47.42,2,2,2,2,2,2,2,1,2,2,2,2,891e6,-48.13
88,nom,4,13,22,460,5,216,74,2,1,pass,62.3,done,9.626e-9,12.69e-9,54.33e-6,84.92,108.8e6,2.334e6,110.2e6,1.718e-3,47.11,2,2,2,2,2,2,2,1,2,2,2,2,85.8e6,-47.76
77,nom,2,52,88,230,82,432,181,6,3,pass,62.31,done,3.23e-9,4.944e-9,19.51e-6,46.06,579.2e6,13.88e6,585.8e6,2.248e-3,47.41,2,2,2,2,2,2,2,1,2,2,2,2,755.4e6,-48.12
155,nom,4,52,88,115,165,432,203,30,15,pass,62.34,done,4.619e-9,5.731e-9,15.37e-6,33.27,320e6,7.455e6,321e6,703.9e-6,48.92,2,2,2,2,2,2,2,1,2,2,2,2,423.9e6,-50.19
81,nom,2,52,88,460,82,864,363,6,3,pass,62.35,done,3.235e-9,4.944e-9,19.51e-6,53.32,495e6,11.4e6,496.2e6,3.911e-3,47.41,2,2,2,2,2,2,2,1,2,2,2,2,603.7e6,-48.11
159,nom,4,52,88,230,165,864,406,30,15,pass,62.39,done,4.626e-9,5.731e-9,15.37e-6,42.19,281.5e6,6.287e6,285.1e6,1.114e-3,48.92,2,2,2,2,2,2,2,1,2,2,2,2,338.6e6,-50.17
